audio interface opened
hw_params allocated
hw_params initialized
hw_params access setted
hw_params format setted
hw_params rate setted
hw_params channels setted
change volume times :8
audio interface prepared: 16, length - 96000
freq:240,amplitude,vol,theta 
240,32351,4000,3 
240,32382,4000,3 
240,32351,4000,3 
240,32351,4000,3 
240,28489,5000,3 
240,30265,5000,3 
240,32420,5000,3 
240,32386,5000,3 
240,32387,5000,3 
240,32420,5000,3 
240,22923,6000,3 
240,13210,6000,3 
240,32415,6000,3 
240,32448,6000,3 
240,32415,6000,3 
240,32414,6000,3 
240,28095,7000,3 
240,30497,7000,3 
240,32472,7000,3 
240,32437,7000,3 
240,32438,7000,3 
240,32471,7000,3 
240,22432,8000,3 
240,12426,8000,3 
240,32460,8000,3 
240,32492,8000,3 
240,32461,8000,3 
240,32461,8000,3 
240,28181,1000,4 
240,30148,1000,4 
240,32226,1000,4 
240,32200,1000,4 
240,32196,1000,4 
240,32229,1000,4 
240,23413,2000,4 
240,13087,2000,4 
240,32261,2000,4 
240,32289,2000,4 
240,32259,2000,4 
240,32259,2000,4 
240,27929,3000,4 
240,30347,3000,4 
240,32342,3000,4 
240,32308,3000,4 
240,32311,3000,4 
240,32340,3000,4 
240,23278,4000,4 
240,11967,4000,4 
240,32353,4000,4 
240,32383,4000,4 
240,32355,4000,4 
240,32354,4000,4 
240,28114,5000,4 
240,30325,5000,4 
240,32421,5000,4 
240,32390,5000,4 
240,32387,5000,4 
240,32422,5000,4 
240,21751,6000,4 
240,9990,6000,4 
240,32417,6000,4 
240,32448,6000,4 
240,32416,6000,4 
240,32415,6000,4 
240,27974,7000,4 
240,30303,7000,4 
240,32471,7000,4 
240,32440,7000,4 
240,32439,7000,4 
240,32471,7000,4 
240,22227,8000,4 
240,10618,8000,4 
240,32459,8000,4 
240,32494,8000,4 
240,32461,8000,4 
240,32462,8000,4 
240,28237,1000,5 
240,30139,1000,5 
240,32227,1000,5 
240,32197,1000,5 
240,32198,1000,5 
240,32228,1000,5 
240,22122,2000,5 
240,11761,2000,5 
240,32259,2000,5 
240,32291,2000,5 
240,32259,2000,5 
240,32263,2000,5 
240,27378,3000,5 
240,30261,3000,5 
240,32342,3000,5 
240,32315,3000,5 
240,32311,3000,5 
240,32342,3000,5 
240,22755,4000,5 
240,11139,4000,5 
240,32354,4000,5 
240,32387,4000,5 
240,32355,4000,5 
240,32354,4000,5 
240,27940,5000,5 
240,30476,5000,5 
240,32422,5000,5 
240,32387,5000,5 
240,32387,5000,5 
240,32421,5000,5 
240,21729,6000,5 
240,9424,6000,5 
240,32416,6000,5 
240,32449,6000,5 
240,32418,6000,5 
240,32417,6000,5 
240,28348,7000,5 
240,30367,7000,5 
240,32471,7000,5 
